Country;Population-2020;Yearly Change;Net Change;Density (P/Km2);Land Area (Km2);Migrants (net);Fert. Rate;Med. Age ;Urban Pop ;World Share
Mayotte;272,815;02.50;6,665;728;375;0;03.07;20;46;00.00
Sao Tome & Principe;219,159;0,104861111;4,103;228;960;-1,68;04.04;19;74;00.00
Samoa;198,414;0,046527778;1,317;70;2,83;-2,803;03.09;22;18;00.00
Saint Lucia;183,627;00.46;837;301;610;0;01.04;34;19;00.00
Channel Islands;173,863;0,064583333;1,604;915;190;1,351;01.05;43;30;00.00
Guam;168,775;0,061805556;1,481;313;540;-506;02.03;31;95;00.00
Curaçao;164,093;00.41;669;370;444;515;01.08;42;89;00.00
Kiribati;119,449;01.57;1,843;147;810;-800;03.06;23;57;00.00
Micronesia;115,023;01.06;1,208;164;700;-600;03.01;24;21;00.00
Grenada;112,523;00.46;520;331;340;-200;02.01;32;35;00.00
St. Vincent & Grenadines;110,94;00.32;351;284;390;-200;01.09;33;53;00.00
Aruba;106,766;00.43;452;593;180;201;01.09;41;44;00.00
Tonga;105,695;01.15;1,201;147;720;-800;03.06;22;24;00.00
U.S. Virgin Islands;104,425;-0.15 ;-153;298;350;-451;02.00;43;96;00.00
Seychelles;98,347;0,043055556;608;214;460;-200;02.05;34;56;00.00
Antigua and Barbuda;97,929;0,058333333;811;223;440;0;02.00;34;26;00.00
Isle of Man;85,033;00.53;449;149;570;;N.A.;N.A.;53;00.00
Andorra;77,265;00.16;123;164;470;;N.A.;N.A.;88;00.00
Dominica;71,986;00.25;178;96;750;;N.A.;N.A.;74;00.00
Cayman Islands;65,722;01.19;774;274;240;;N.A.;N.A.;97;00.00
Bermuda;62,278;-0.36 ;-228;1,246;50;;N.A.;N.A.;97;00.00
Marshall Islands;59,19;0,047222222;399;329;180;;N.A.;N.A.;70;00.00
Northern Mariana Islands;57,559;0,041666667;343;125;460;;N.A.;N.A.;88;00.00
Greenland;56,77;00.17;98;0;410,45;;N.A.;N.A.;87;00.00
American Samoa;55,191;-0.22 ;-121;276;200;;N.A.;N.A.;88;00.00
